SKU,Description,Name,DisplayName,Available in SNaP,Pricing Formula,Cost,FranchisePrice,RetailPrice,Series,UOM,ProductType,VendorName,VendorItemNum,Type,Thickness,TypeCode,ColorCode,ProfileCode
AC-0000179,"Synergy Valet Rail Matt Ni 12""","Synergy Valet Rail Matt Ni 12""",Synergy Valet Rail Matt Ni 12in,,SYNERGY LINE,17.84,19.624,58.872,SYNERGY,EA,AC,HAFELE,808.70.630,4,1,0,0,0
AC-0000180,"SYNERGY TIE RACK DORB 14""","SYNERGY TIE RACK DORB 14""","SYNERGY TIE RACK DORB 14""",,SYNERGY LINE,21.26,23.386,70.158,SYNERGY,EA,AC,HAFELE,807.54.133,4,1,0,0,0
AC-0000181,"Synergy Valet Rail Chrome 12""","Synergy Valet Rail Chrome 12""",Synergy Valet Rail Chrome 12in,,SYNERGY LINE,17.82,19.602,58.806,SYNERGY,EA,AC,HAFELE,808.70.230,4,1,0,0,0
AC-0000182,"SYNERGY TIE RACK NICK-PL MATT 14""","SYNERGY TIE RACK NICK-PL MATT 14""","SYNERGY TIE RACK NICK-PL MATT 14""",,SYNERGY LINE,20.12,22.132,66.396,SYNERGY,EA,AC,HAFELE,807.54.633,4,1,0,0,0
AC-0000183,"Synergy Valet Rail White 12""","Synergy Valet Rail White 12""",Synergy Valet Rail White 12in,,SYNERGY LINE,16.19,17.809,53.427,SYNERGY,EA,AC,HAFELE,808.70.770,4,1,0,0,0
AC-0000184,Synergy Rnd Rod WHT 8ft,Synergy Rnd Rod WHT 8ft,Synergy Rnd Rod WHT 8ft,,SYNERGY LINE,19.09,20.999,62.997,SYNERGY,EA,AC,HAFELE,801.42.710,4,1,0,0,0
AC-0000185,"Synergy Valet Rail Matt Alum 12""","Synergy Valet Rail Matt Alum 12""",Synergy Valet Rail Matt Alum 12in,,SYNERGY LINE,17.84,19.624,58.872,SYNERGY,EA,AC,HAFELE,808.70.930,4,1,0,0,0
AC-0000186,"Synergy Valet Rail ORB 14""","Synergy Valet Rail ORB 14""",Synergy Valet Rail ORB 14in,,SYNERGY LINE,20.94,23.034,69.102,SYNERGY,EA,AC,HAFELE,808.70.131,4,1,0,0,0
AC-0000187,"Synergy Valet Rail Matt Alum 14""","Synergy Valet Rail Matt Alum 14""",Synergy Valet Rail Matt Alum 14in,,SYNERGY LINE,19.81,21.791,65.373,SYNERGY,EA,AC,HAFELE,808.70.931,4,1,0,0,0
AC-0000188,"Synergy Valet Rail Matt Ni 14""","Synergy Valet Rail Matt Ni 14""",Synergy Valet Rail Matt Ni 14in,,SYNERGY LINE,19.81,21.791,65.373,SYNERGY,EA,AC,HAFELE,808.70.631,4,1,0,0,0
